GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RK9E001,NAME_M,RK9M001
"G44000300203005","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020300","5",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030203005","Block Group 5, Census Tract 203, Kent County, Rhode Island",561,"Block Group 5, Census Tract 203, Kent County, Rhode Island",342
"G44000300203006","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020300","6",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030203006","Block Group 6, Census Tract 203, Kent County, Rhode Island",1151,"Block Group 6, Census Tract 203, Kent County, Rhode Island",428
"G44000300204001","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020400","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030204001","Block Group 1, Census Tract 204, Kent County, Rhode Island",792,"Block Group 1, Census Tract 204, Kent County, Rhode Island",227
"G44000300204002","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020400","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030204002","Block Group 2, Census Tract 204, Kent County, Rhode Island",699,"Block Group 2, Census Tract 204, Kent County, Rhode Island",279
"G44000300204003","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020400","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030204003","Block Group 3, Census Tract 204, Kent County, Rhode Island",1547,"Block Group 3, Census Tract 204, Kent County, Rhode Island",304
"G44000300205001","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020500","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030205001","Block Group 1, Census Tract 205, Kent County, Rhode Island",1540,"Block Group 1, Census Tract 205, Kent County, Rhode Island",236
"G44000300205002","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020500","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030205002","Block Group 2, Census Tract 205, Kent County, Rhode Island",1837,"Block Group 2, Census Tract 205, Kent County, Rhode Island",331
"G44000300205003","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020500","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030205003","Block Group 3, Census Tract 205, Kent County, Rhode Island",617,"Block Group 3, Census Tract 205, Kent County, Rhode Island",202
"G44000300206011","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020601","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206011","Block Group 1, Census Tract 206.01, Kent County, Rhode Island",1206,"Block Group 1, Census Tract 206.01, Kent County, Rhode Island",278
"G44000300206012","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020601","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206012","Block Group 2, Census Tract 206.01, Kent County, Rhode Island",1804,"Block Group 2, Census Tract 206.01, Kent County, Rhode Island",436
"G44000300206019","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020601","9",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206019","Block Group 9, Census Tract 206.01, Kent County, Rhode Island",4044,"Block Group 9, Census Tract 206.01, Kent County, Rhode Island",490
"G44000300206021","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020602","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206021","Block Group 1, Census Tract 206.02, Kent County, Rhode Island",2016,"Block Group 1, Census Tract 206.02, Kent County, Rhode Island",415
"G44000300206022","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020602","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206022","Block Group 2, Census Tract 206.02, Kent County, Rhode Island",1297,"Block Group 2, Census Tract 206.02, Kent County, Rhode Island",215
"G44000300206031","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020603","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206031","Block Group 1, Census Tract 206.03, Kent County, Rhode Island",2243,"Block Group 1, Census Tract 206.03, Kent County, Rhode Island",409
"G44000300206032","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020603","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206032","Block Group 2, Census Tract 206.03, Kent County, Rhode Island",1328,"Block Group 2, Census Tract 206.03, Kent County, Rhode Island",334
"G44000300206033","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020603","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206033","Block Group 3, Census Tract 206.03, Kent County, Rhode Island",2647,"Block Group 3, Census Tract 206.03, Kent County, Rhode Island",352
"G44000300206041","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020604","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206041","Block Group 1, Census Tract 206.04, Kent County, Rhode Island",1679,"Block Group 1, Census Tract 206.04, Kent County, Rhode Island",518
"G44000300206042","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020604","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206042","Block Group 2, Census Tract 206.04, Kent County, Rhode Island",1183,"Block Group 2, Census Tract 206.04, Kent County, Rhode Island",316
"G44000300206043","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020604","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030206043","Block Group 3, Census Tract 206.04, Kent County, Rhode Island",2349,"Block Group 3, Census Tract 206.04, Kent County, Rhode Island",334
"G44000300207013","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020701","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030207013","Block Group 3, Census Tract 207.01, Kent County, Rhode Island",1891,"Block Group 3, Census Tract 207.01, Kent County, Rhode Island",190
"G44000300207022","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020702","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030207022","Block Group 2, Census Tract 207.02, Kent County, Rhode Island",2928,"Block Group 2, Census Tract 207.02, Kent County, Rhode Island",326
"G44000300207025","2005-2009","RI",,,"Rhode Island","44","Kent County","003",,,"020702","5",,,,,,,,,,,,,,,,,,,,,,,,"15000US440030207025","Block Group 5, Census Tract 207.02, Kent County, Rhode Island",1836,"Block Group 5, Census Tract 207.02, Kent County, Rhode Island",263
