GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QSPE001,NAME_M,QSPM001
"G44000700115001","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070115001",,,"Block Group 1, Census Tract 115, Providence County, Rhode Island",1477,"Block Group 1, Census Tract 115, Providence County, Rhode Island",374
"G44000700115002","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070115002",,,"Block Group 2, Census Tract 115, Providence County, Rhode Island",1224,"Block Group 2, Census Tract 115, Providence County, Rhode Island",469
"G44000700115003","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011500","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070115003",,,"Block Group 3, Census Tract 115, Providence County, Rhode Island",2146,"Block Group 3, Census Tract 115, Providence County, Rhode Island",495
"G44000700115004","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011500","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070115004",,,"Block Group 4, Census Tract 115, Providence County, Rhode Island",1213,"Block Group 4, Census Tract 115, Providence County, Rhode Island",371
"G44000700116001","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011600","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070116001",,,"Block Group 1, Census Tract 116, Providence County, Rhode Island",889,"Block Group 1, Census Tract 116, Providence County, Rhode Island",245
"G44000700116002","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011600","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070116002",,,"Block Group 2, Census Tract 116, Providence County, Rhode Island",1777,"Block Group 2, Census Tract 116, Providence County, Rhode Island",357
"G44000700116003","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011600","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070116003",,,"Block Group 3, Census Tract 116, Providence County, Rhode Island",1108,"Block Group 3, Census Tract 116, Providence County, Rhode Island",236
"G44000700116004","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011600","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070116004",,,"Block Group 4, Census Tract 116, Providence County, Rhode Island",2407,"Block Group 4, Census Tract 116, Providence County, Rhode Island",343
"G44000700117011","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011701","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070117011",,,"Block Group 1, Census Tract 117.01, Providence County, Rhode Island",2341,"Block Group 1, Census Tract 117.01, Providence County, Rhode Island",310
"G44000700117012","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"011701","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070117012",,,"Block Group 2, Census Tract 117.01, Providence County, Rhode Island",1527,"Block Group 2, Census Tract 117.01, Providence County, Rhode Island",318
